subjID,trial_type,object1,object2,response,correct_object,correct,exp,response_object,object1_info,object2_info,trial_subset1,trial_subset2,response_info
59,3,A27,B27,1,NA,FALSE,0,A27,prac,baseline,3.1,0,prac
59,6,Dv8,B18,2,NA,FALSE,0,B18,single,long,6.1,0,long
59,3,A24,B24,2,NA,FALSE,0,B24,prac,baseline,3.1,0,baseline
59,2,CF14,BF14,1,NA,FALSE,0,CF14,short-foil,long-foil,2.4,0,short-foil
59,3,A21,B13,1,NA,FALSE,0,A21,related,baseline,3.3,0,related
59,2,BF22,CF24,2,NA,FALSE,0,CF24,long-foil,short-foil,2.4,0,short-foil
59,6,B211,BF26,2,B211,FALSE,0,BF26,long,long-foil,6.2,0,long-foil
59,2,B12,C12,1,NA,FALSE,0,B12,long-list,short-list,2.3,0,long-list
59,4,DF9,Dv9,2,Dv9,TRUE,0,Dv9,single-foil,single,4,4.5,single
59,3,A17,B26,1,NA,FALSE,0,A17,prac,baseline,3.1,0,prac
61,5,Xv1,XF1,1,Xv1,TRUE,0,Xv1,buffer,buffer-foil,5,0,buffer
61,5,Xv2,XF2,1,Xv2,TRUE,0,Xv2,buffer,buffer-foil,5,0,buffer
61,5,Xv3,XF3,1,Xv3,TRUE,0,Xv3,buffer,buffer-foil,5,0,buffer
61,5,XF4,Xv4,2,Xv4,TRUE,0,Xv4,buffer-foil,buffer,5,0,buffer
61,5,XF5,Xv5,2,Xv5,TRUE,0,Xv5,buffer-foil,buffer,5,0,buffer
61,1,A22,A29,2,NA,FALSE,0,A29,A-start,A-end,1.2,0,A-end
61,4,DF3,Dv3,2,Dv3,TRUE,0,Dv3,single-foil,single,4,4.2,single
61,6,BF17,B15,1,B15,FALSE,0,BF17,long-foil,long,6.2,0,long-foil
61,6,Dv4,B14,1,NA,FALSE,0,Dv4,single,long,6.1,0,single
61,6,BF25,B29,1,B29,FALSE,0,BF25,long-foil,long,6.2,0,long-foil
61,2,BF22,CF24,2,NA,FALSE,0,CF24,long-foil,short-foil,2.4,0,short-foil
61,6,BF19,B111,1,B111,FALSE,0,BF19,long-foil,long,6.2,0,long-foil
61,6,B110,BF16,1,B110,TRUE,0,B110,long,long-foil,6.2,0,long
61,2,B12,C12,2,NA,FALSE,0,C12,long-list,short-list,2.3,0,short-list
61,1,A18,A13,2,NA,FALSE,0,A13,A-end,A-start,1.2,0,A-start
61,2,B11,BF11,1,B11,TRUE,0,B11,long,long-foil,2.1,2.5,long
61,1,A15,A12,1,NA,FALSE,0,A15,prac,related,1.1,1.3,prac
61,2,C21,CF21,1,C21,TRUE,0,C21,short,short-foil,2.2,2.7,short
61,6,BF18,B19,1,B19,FALSE,0,BF18,long-foil,long,6.2,0,long-foil
61,2,B22,C22,1,NA,FALSE,0,B22,long-list,short-list,2.3,0,long-list
61,6,B212,BF27,1,B212,TRUE,0,B212,long,long-foil,6.2,0,long
61,4,Dv1,DF1,1,Dv1,TRUE,0,Dv1,single,single-foil,4,4.1,single
61,2,CF11,C11,2,C11,TRUE,0,C11,short-foil,short,2.2,2.7,short
61,3,A21,B13,1,NA,FALSE,0,A21,related,baseline,3.3,0,related
61,6,B23,Dv2,2,NA,FALSE,0,Dv2,long,single,6.1,0,single
61,3,B214,A110,1,NA,FALSE,0,B214,baseline,related,3.2,0,baseline
61,4,DF7,Dv7,2,Dv7,TRUE,0,Dv7,single-foil,single,4,4.4,single
61,4,DF10,Dv10,2,Dv10,TRUE,0,Dv10,single-foil,single,4,4.6,single
61,2,C24,CF22,2,C24,FALSE,0,CF22,short,short-foil,2.2,2.8,short-foil
